,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
180,WECCbus57,1.0122891,-1.7285006,2.2398197,-0.17696069,february,6,6,weekend,
186,WECCbus57,1.0116516,-1.739891,2.3262758999999997,-0.17239637,february,7,6,weekend,
192,WECCbus57,1.0117874,-1.7374,2.2679232999999996,-0.17610982,february,8,6,weekend,
198,WECCbus57,1.0132833,-1.7127868999999998,1.9616133000000002,-0.19085425,february,9,6,weekend,
204,WECCbus57,1.0141748,-1.6959307000000001,1.8228400000000002,-0.19478696,february,10,6,weekend,
210,WECCbus57,1.0143389,-1.6922113999999997,1.8209006,-0.19439279,february,11,6,weekend,
216,WECCbus57,1.0144209000000002,-1.6901526999999998,1.813521,-0.19440495,february,12,6,weekend,
222,WECCbus57,1.0144102,-1.6904865000000002,1.8126953000000001,-0.19445824,february,13,6,weekend,
228,WECCbus57,1.0144266,-1.6899615000000001,1.8125767,-0.19439071,february,14,6,weekend,
234,WECCbus57,1.0143195,-1.6927212,1.8205428,-0.19443126,february,15,6,weekend,
240,WECCbus57,1.0139809000000002,-1.7004988999999997,1.8393018,-0.19469022,february,16,6,weekend,
246,WECCbus57,1.0132193,-1.7164992,1.8700642,-0.19535866,february,17,6,weekend,
252,WECCbus57,1.0115743000000001,-1.7459003,2.0307223000000003,-0.1909757,february,18,6,weekend,
258,WECCbus57,1.0089392,-1.7823103,2.6032493,-0.15395834,february,19,6,weekend,
264,WECCbus57,1.0080966,-1.7924335,2.7883307999999998,-0.13716327,february,20,6,weekend,
270,WECCbus57,1.0083246,-1.7892985000000001,2.7615653,-0.13957067,february,21,6,weekend,
276,WECCbus57,1.0092586,-1.7757991000000002,2.6461595,-0.14962785,february,22,6,weekend,
282,WECCbus57,1.0105986999999998,-1.7555805,2.4741831000000003,-0.162711,february,23,6,weekend,
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,march,0,4,weekday,
6,WECCbus157,1.03106,-0.78430372,2.7664294999999997,-0.26513288,march,1,4,weekday,
12,WECCbus157,1.0313103000000001,-0.7803706,2.7356938,-0.26577458,march,2,4,weekday,
18,WECCbus157,1.0313961999999999,-0.77893137,2.725443,-0.26593169,march,3,4,weekday,
24,WECCbus157,1.0312941999999998,-0.78060381,2.7377752,-0.26571683,march,4,4,weekday,
30,WECCbus157,1.0308871,-0.78687528,2.7879338,-0.26457931,march,5,4,weekday,
36,WECCbus157,1.0301805,-0.79744081,2.8724685,-0.2622716,march,6,4,weekday,
42,WECCbus157,1.0298436,-0.8022515,2.9121523999999996,-0.26096813,march,7,4,weekday,
48,WECCbus157,1.0305247,-0.79124751,2.8370123,-0.26270604,march,8,4,weekday,
54,WECCbus157,1.0317821,-0.77112311,2.6849929,-0.26572574,march,9,4,weekday,
60,WECCbus157,1.0327804,-0.75571498,2.5472335,-0.26802693,march,10,4,weekday,
66,WECCbus157,1.0330854,-0.75080643,2.5031141,-0.26848602,march,11,4,weekday,
72,WECCbus157,1.0331953,-0.74887138,2.4875879000000003,-0.26852253,march,12,4,weekday,
78,WECCbus157,1.0332017,-0.74890255,2.4858962000000004,-0.26861396,march,13,4,weekday,
84,WECCbus157,1.0331774,-0.74964864,2.4876127,-0.26879823,march,14,4,weekday,
90,WECCbus157,1.0327791,-0.75619892,2.5448002,-0.26829473,march,15,4,weekday,
96,WECCbus157,1.0315425999999999,-0.77508481,2.7143292000000003,-0.26523528,march,16,4,weekday,
102,WECCbus157,1.0300247,-0.79992915,2.8892317000000003,-0.26180412,march,17,4,weekday,
108,WECCbus157,1.0280808000000001,-0.82188774,3.1281871,-0.24961807,march,18,4,weekday,
114,WECCbus157,1.0268146999999999,-0.83741771,3.2621237,-0.24199903,march,19,4,weekday,
120,WECCbus157,1.0262631,-0.84850835,3.2987961,-0.24186087,march,20,4,weekday,
126,WECCbus157,1.0265851000000001,-0.8472531999999999,3.2550937,-0.24590029999999996,march,21,4,weekday,
132,WECCbus157,1.0278106,-0.83126699,3.1309687000000004,-0.25249412,march,22,4,weekday,
138,WECCbus157,1.0292224,-0.81179671,2.9794629,-0.25896341,march,23,4,weekday,
144,WECCbus157,1.0302973,-0.79603296,2.8572447,-0.26290154,march,0,5,weekend,
150,WECCbus157,1.0308926,-0.78691091,2.7866305000000002,-0.26467051,march,1,5,weekend,
156,WECCbus157,1.0311565,-0.78273596,2.7548242000000003,-0.26533952,march,2,5,weekend,
162,WECCbus157,1.0312695,-0.78098156,2.7408331,-0.26564393,march,3,5,weekend,
168,WECCbus157,1.0311484,-0.78281986,2.7559942000000004,-0.26528544,march,4,5,weekend,
174,WECCbus157,1.0307547,-0.78889667,2.8036921,-0.26415796,march,5,5,weekend,
180,WECCbus157,1.0300214,-0.79982477,2.8905055,-0.26170298,march,6,5,weekend,
186,WECCbus157,1.0296637,-0.80479982,2.9327904,-0.26021874,march,7,5,weekend,
192,WECCbus157,1.0305608,-0.79084301,2.8317214,-0.26287995,march,8,5,weekend,
198,WECCbus157,1.0319190999999999,-0.76899008,2.6664498,-0.26599771,march,9,5,weekend,
204,WECCbus157,1.0329274,-0.75338966,2.525419,-0.26822376,march,10,5,weekend,
210,WECCbus157,1.0331181,-0.75015657,2.4983482999999995,-0.26839552,march,11,5,weekend,
216,WECCbus157,1.0332184000000002,-0.74842733,2.4839916,-0.26845453,march,12,5,weekend,
222,WECCbus157,1.0332477,-0.74811716,2.4787548,-0.26859679,march,13,5,weekend,
228,WECCbus157,1.0332237,-0.74885991,2.4803101,-0.26876898,march,14,5,weekend,
234,WECCbus157,1.0331318999999999,-0.75096777,2.4904687,-0.26901902,march,15,5,weekend,
240,WECCbus157,1.0319253000000002,-0.76988371,2.6605476,-0.26664343,march,16,5,weekend,
246,WECCbus157,1.0298263,-0.79937917,2.9279938,-0.25864089,march,17,5,weekend,
252,WECCbus157,1.0274975,-0.82919304,3.1897056,-0.24614714,march,18,5,weekend,
258,WECCbus157,1.0262928,-0.84540758,3.3065351,-0.2398327,march,19,5,weekend,
